Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Electric power consumption (kWh per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Electric power consumption (kWh per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Electric power consumption (kWh per capita),,,,,,,,,,,,92.0411397407982,100.503284600976,113.59155248253,136.362695189444,139.379271070615,60.3062651615652,58.2712293437452,56.3491862805263,58.5748418324146,60.6620871186695,58.5617918334308,60.3153150637499,63.267291047646,52.211424234047,60.6304137614175,58.5265022827758,56.7860233412073,55.2039428806339,53.6020910751907,53.1717990956743,54.453864881429,53.4866416914862,52.0074532799074,50.6526077539812,49.264241775991,51.108559232355,69.3269103396615,73.3091959875781,71.9108476915011,75.2646782438055,82.6165706534257,86.0188441202124,95.8531033808002,87.5353079955401,109.295229983613,144.715351206936,133.267238650675,172.384913941671,189.257653842021,206.454410524705,207.01334286459,219.253430320483,280.214546709728,312.228824978484,,,,,,
Albania,ALB,Electric power consumption (kWh per capita),,,,,,,,,,,,532.02843152625,568.403201603477,593.446745665183,591.032643383924,739.345093272667,908.67454726938,1067.81415577833,1098.48316581368,1065.76739836628,1142.96535512577,1123.96810630449,1096.87322889453,1070.69016441863,1018.1002875264,796.353973775973,1420.61479470727,1161.95167669011,1005.93953033667,1021.39350044285,552.252184819181,418.45358899715,453.64407387777,536.363825095196,596.407959255952,663.783995402449,904.346640328557,694.664802792381,734.849913537668,1414.70378393053,1449.64741324695,1351.23079642883,1578.16591882688,1469.26453867857,1797.52548696885,1722.07284972507,1218.36014605619,1213.12436932179,1617.7441562046,1835.68407241763,1943.34335385842,2205.70392004668,2118.32777605579,2533.25282927106,2309.36650255581,,,,,,
Andorra,AND,Electric power consumption (kWh per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Electric power consumption (kWh per capita),,,,,,,,,,,,197.008179927499,211.769974336314,231.207149113457,255.759035607922,283.263755222006,326.43852145499,370.475890446078,428.029510482909,516.408891024159,578.668083111135,625.838809544621,715.793860687367,771.963846271418,858.050183564199,884.955926835721,962.731905051427,1001.08565947816,1037.70628074965,1057.68493814034,1073.99853417336,1038.84408808608,1072.08596079141,1126.18277603785,1153.11181218926,1259.99506410716,1297.72203405224,1341.63841909187,1434.2673154288,1485.8917465897,1518.76032118808,1581.59028584057,1650.06828386013,1720.81436999283,1767.78565567738,1842.76904420127,1943.06744501255,1998.31540207168,2065.1024830386,2123.65202128184,2301.34237093243,2337.71514905268,2377.21059065368,2433.56483125082,2508.40784010079,,,,,,
United Arab Emirates,ARE,Electric power consumption (kWh per capita),,,,,,,,,,,,681.152264560981,1314.30263404376,1700.35274083685,1876.13247163874,2321.71745081625,2829.49953129066,3737.02648012359,4190.26508423618,4982.02842181746,5752.76922518585,6118.85720538751,7117.06498764601,7677.09789256296,7905.89588174696,8169.59018097388,8239.19025429002,8282.1661832523,8482.13901587274,8232.69190539851,8500.72630538079,8151.13726174443,8284.41451591926,9099.27988959749,9414.28748880419,9402.96220844772,9512.7220941379,9925.64841455407,11232.3484811323,12219.010301298,12314.0512217053,12133.6389804885,12502.669760091,12366.0670507973,11958.9929631296,12279.9121664696,11693.3896887159,11451.913634302,11294.1881408344,10618.8012891146,10609.9564116347,10287.0564450193,10416.0148840531,10724.5015443726,11088.3502863794,,,,,,
Argentina,ARG,Electric power consumption (kWh per capita),,,,,,,,,,,,874.459352335354,925.316921654107,962.266125350897,993.233054890324,1011.9936088521,1032.48922002898,1081.75122699867,1093.41667378945,1217.17287982878,1243.63146553578,1197.59274612661,1208.66630724677,1259.17370032247,1300.79964440371,1288.87478170294,1330.37062749088,1413.84726954153,1452.30585328234,1320.35657186199,1303.9778990247,1347.59212793615,1410.37729180718,1496.90414611833,1576.76706041903,1648.89513287663,1728.12102600965,1848.00199700321,1967.25444445027,2033.77181116476,2088.80813962555,2120.57994317578,2014.47655733814,2180.32681692764,2293.30936850936,2408.43252466624,2374.09747110948,2455.656576487,2772.84322218275,2730.12323163118,2877.65265331343,2929.07502855568,3000.60352326565,2967.37655805218,3074.70207056563,,,,,,
Armenia,ARM,Electric power consumption (kWh per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2722.59311378676,2689.67362744768,1962.63699174252,1195.02555374374,1045.47751035656,1050.24386544446,1219.92752399533,1509.05384430509,1308.59105468,1307.53358182622,1297.56700485504,1269.22230959781,1236.33065236465,1320.44061960309,1440.32098962916,1521.49973719245,1639.78924432116,1773.15968189515,1669.40774200738,1661.3044182803,1726.25975778146,1807.03331574274,1892.01342889209,1931.2641152077,1961.61039526467,,,,,,
American Samoa,ASM,Electric power consumption (kWh per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
